,ner
0,18125.838857681236
1,14287.625137482863
2,12495.40566900426
3,11319.708281223491
4,10606.11224771613
5,9734.212543937841
6,8908.484559933535
7,8277.946618650167
8,7874.3017006673845
9,7346.7302797072225
10,6871.009543521138
11,6330.190905597404
12,6102.63015384117
13,6012.776150847446
14,5688.040062129654
15,5265.8033734776645
16,5213.174397905945
17,5044.643410967762
18,4839.946284489557
19,4420.681445086441
20,4427.956195046332
21,4129.043070083754
22,4047.245063931315
23,3856.4000115866243
24,3720.24705950463
25,3603.8603676542316
26,3573.4114729594776
27,3404.3024751156445
28,3502.5176316137167
29,3298.171487663283
30,3123.958912866242
31,3086.2109841640763
32,2960.644987186279
33,2990.9943990734564
34,2985.5139906046775
35,2799.9571103655417
36,2793.336019485866
37,2610.1032951434627
38,2513.7231810862327
39,2600.565503200421
40,2514.8297284825753
41,2554.677769754507
42,2273.4400162524144
43,2286.5779935125556
44,2294.262611771153
45,2371.6149195650178
46,2380.8318876943886
47,2118.5345377686476
48,2231.903882451107
49,2275.100602351851
50,2182.9634805044648
51,2262.41739526252
52,2014.030437112736
53,2171.8366036721527
54,1874.5820438380113
55,2060.963350381842
56,1997.118667604168
57,1898.762553532901
58,1847.6014696963168
59,1843.9581309586213
60,1789.0142970788131
61,1798.4760052599538
62,1918.8390133801508
63,1885.3543481157099
64,1791.425652720114
65,1683.5478209074793
66,1668.6041448672656
67,1665.2937197359872
68,1748.3138322795724
69,1639.7391906990376
70,1705.1394825980058
71,1660.8596138541875
72,1776.121611027083
73,1606.005875007035
74,1566.6980503740806
75,1625.3808178585855
76,1783.3347643478887
77,1551.1258094515294
78,1546.2394684050166
79,1572.7232375085355
80,1633.7134653636567
81,1742.666533915597
82,1473.8000476520704
83,1489.055914955238
84,1407.819439772548
85,1519.290706676051
86,1505.9891851061439
87,1557.3327018902955
88,1411.4635056183242
89,1434.0481469271556
90,1589.5793456359545
91,1611.5569828794783
92,1552.4648526757858
93,1495.5797941027581
94,1564.7611601331562
95,1421.1428391165712
96,1394.9217324713147
97,1424.6019837035465
98,1457.1921439905045
99,1400.5571592745252
100,1282.7197624548628
101,1451.96192853476
102,1334.3883587967437
103,1429.4498103139845
104,1431.8096783830044
105,1293.6863468790198
106,1357.5039093749303
107,1316.7006463024568
108,1236.9938079985445
109,1309.145078675238
110,1367.650545155832
111,1309.1959929188733
112,1342.5768315075243
113,1162.6622519725079
114,1310.6274932124666
115,1198.2122803532752
116,1280.2238164571597
117,1308.565990004787
118,1167.2109364824405
119,1364.2720339953523
120,1381.8079751625842
121,1337.31409524422
122,1393.1847254534484
123,1302.439045214505
124,1189.7476651289815
125,1166.229689524786
126,1339.7001291878125
127,1078.7260271030882
128,1210.4125950560594
129,1250.5318056990616
130,1137.3036823748341
131,1227.6380788060642
132,1239.5546591627724
133,1266.9598996270133
134,1263.0142096643665
135,1198.5962223576298
136,1158.788090220486
137,1240.309129089184
138,1248.2810843791322
139,1293.0012176303132
140,1172.8364154723386
141,1295.960264502476
142,1188.5327097639681
143,1212.8406909503249
144,1160.3041378573137
145,1211.9403763767148
146,1106.4806760795602
147,1100.9313607064908
148,1202.5696783691105
149,1130.7711392006831
